Godot Engine v4.7.1.stable.official.a13da4feb - https://godotengine.org

======================================================================
BENCHMARK SMART TOP DOWN
  repeticiones=5  paralelo=16  aceleracion=x60 (3600 ticks/s)  semilla=20260408
  salida=res://results_v2
======================================================================

[1/16] Configuracion base=base  (p20_m0.15_gaussiana_torneo_uniforme_aleatorio_deep)
  [vs_tipo_A] sensores congelados (IV.2 del PDF): escudo_objetivo
  [vs_tipo_B] gen 14/25  mejor=  201.50  medio=  104.99
  [vs_tipo_B] gen 15/25  mejor=  202.48  medio=  116.30
  [vs_tipo_B] gen 16/25  mejor=  201.61  medio=  102.27
  [vs_tipo_B] gen 17/25  mejor=  201.50  medio=  119.38
  [vs_tipo_B] gen 18/25  mejor=  201.46  medio=  101.28
  [vs_tipo_B] gen 19/25  mejor=  201.61  medio=  114.07
  [vs_tipo_B] gen 20/25  mejor=  203.13  medio=  123.28
  [vs_tipo_B] gen 21/25  mejor=  201.46  medio=  125.59
  [vs_tipo_B] gen 22/25  mejor=  204.16  medio=  118.07
  [vs_tipo_B] gen 23/25  mejor=  203.84  medio=  117.89
  [vs_tipo_B] gen 24/25  mejor=  203.70  medio=  130.52
  [vs_tipo_B] gen 25/25  mejor=  204.16  medio=  142.57
  [vs_tipo_C] sensores congelados (IV.2 del PDF): escudo_objetivo
  [vs_tipo_C] gen  1/25  mejor=  171.13  medio=   66.28
  [vs_tipo_C] gen  2/25  mejor=  198.42  medio=   81.96
  [vs_tipo_C] gen  3/25  mejor=  236.31  medio=   81.83
  [vs_tipo_C] gen  4/25  mejor=  196.85  medio=   56.63
  [vs_tipo_C] gen  5/25  mejor=  202.66  medio=   70.68
  [vs_tipo_C] gen  6/25  mejor=  218.65  medio=   85.47
  [vs_tipo_C] gen  7/25  mejor=  181.41  medio=   66.88
  [vs_tipo_C] gen  8/25  mejor=  228.69  medio=   80.59
  [vs_tipo_C] gen  9/25  mejor=  218.65  medio=   96.28
  [vs_tipo_C] gen 10/25  mejor=  185.24  medio=   73.20
  [vs_tipo_C] gen 11/25  mejor=  221.52  medio=   86.23
  [vs_tipo_C] gen 12/25  mejor=  229.60  medio=  107.15
  [vs_tipo_C] gen 13/25  mejor=  209.94  medio=   74.42
  [vs_tipo_C] gen 14/25  mejor=  230.01  medio=   86.24
  [vs_tipo_C] gen 15/25  mejor=  201.01  medio=  109.51
  [vs_tipo_C] gen 16/25  mejor=  182.97  medio=   89.35
  [vs_tipo_C] gen 17/25  mejor=  172.20  medio=   93.10
  [vs_tipo_C] gen 18/25  mejor=  209.17  medio=   91.94
  [vs_tipo_C] gen 19/25  mejor=  184.09  medio=   75.19
  [vs_tipo_C] gen 20/25  mejor=  237.11  medio=   97.84
  [vs_tipo_C] gen 21/25  mejor=  238.62  medio=  117.29
  [vs_tipo_C] gen 22/25  mejor=  222.09  medio=   95.48
  [vs_tipo_C] gen 23/25  mejor=  244.15  medio=  102.99
  [vs_tipo_C] gen 24/25  mejor=  228.51  medio=  118.84
  [vs_tipo_C] gen 25/25  mejor=  222.86  medio=  101.63
  [vs_humano_bot] sin sensores congelados
  [vs_humano_bot] gen  1/25  mejor=    1.42  medio=  -15.49
  [vs_humano_bot] gen  2/25  mejor=   24.59  medio=   -5.81
  [vs_humano_bot] gen  3/25  mejor=   57.88  medio=    1.13
  [vs_humano_bot] gen  4/25  mejor=   37.00  medio=   -2.46
  [vs_humano_bot] gen  5/25  mejor=   57.83  medio=    5.54
  [vs_humano_bot] gen  6/25  mejor=   73.96  medio=   20.54
  [vs_humano_bot] gen  7/25  mejor=   46.66  medio=   -0.09
  [vs_humano_bot] gen  8/25  mejor=   77.19  medio=    2.70
  [vs_humano_bot] gen  9/25  mejor=  143.70  medio=   23.76
  [vs_humano_bot] gen 10/25  mejor=  117.24  medio=    3.94
  [vs_humano_bot] gen 11/25  mejor=   43.50  medio=   -2.90
  [vs_humano_bot] gen 12/25  mejor=   72.91  medio=   23.74
  [vs_humano_bot] gen 13/25  mejor=   45.08  medio=    3.87
  [vs_humano_bot] gen 14/25  mejor=   70.30  medio=    1.30
  [vs_humano_bot] gen 15/25  mejor=   76.50  medio=   25.34
  [vs_humano_bot] gen 16/25  mejor=   54.41  medio=   -1.72
  [vs_humano_bot] gen 17/25  mejor=   49.78  medio=    3.45
  [vs_humano_bot] gen 18/25  mejor=  144.83  medio=   16.56
